날짜,구,건수
2021-02-04,은평구,372
2021-02-04,종로구,1
2021-02-04,중구,28
2021-02-04,중랑구,0
2021-02-05,강남구,12
2021-02-05,강동구,0
2021-02-05,강북구,2
2021-02-05,강서구,59
2021-02-05,관악구,1403
2021-02-05,구로구,1899
2021-02-05,금천구,445
2021-02-05,노원구,74
2021-02-05,도봉구,375
2021-02-05,동작구,1130
2021-02-05,마포구,43
2021-02-05,서대문구,27
2021-02-05,서초구,295
2021-02-05,성동구,0
2021-02-05,성북구,0
2021-02-05,송파구,0
2021-02-05,양천구,318
2021-02-05,영등포구,400
2021-02-05,용산구,83
2021-02-05,은평구,492
2021-02-05,종로구,0
2021-02-05,중구,31
2021-02-05,중랑구,0
2021-02-06,강남구,10
2021-02-06,강동구,0
2021-02-06,강북구,1
2021-02-06,강서구,108
2021-02-06,관악구,1833
2021-02-06,구로구,2209
2021-02-06,금천구,392
2021-02-06,노원구,82
2021-02-06,도봉구,390
2021-02-06,동작구,1251
2021-02-06,마포구,33
2021-02-06,서대문구,23
2021-02-06,서초구,274
2021-02-06,성동구,0
2021-02-06,성북구,0
2021-02-06,송파구,0
2021-02-06,양천구,311
2021-02-06,영등포구,423
2021-02-06,용산구,89
2021-02-06,은평구,458
2021-02-06,종로구,2
2021-02-06,중구,30
2021-02-06,중랑구,0
2021-02-07,강남구,5
2021-02-07,강동구,0
2021-02-07,강북구,8
2021-02-07,강서구,91
2021-02-07,관악구,1833
2021-02-07,구로구,2005
2021-02-07,금천구,362
2021-02-07,노원구,79
2021-02-07,도봉구,317
2021-02-07,동작구,1222
2021-02-07,마포구,46
2021-02-07,서대문구,48
2021-02-07,서초구,246
2021-02-07,성동구,0
2021-02-07,성북구,0
2021-02-07,송파구,0
2021-02-07,양천구,302
2021-02-07,영등포구,423
2021-02-07,용산구,114
2021-02-07,은평구,477
2021-02-07,종로구,0
2021-02-07,중구,31
2021-02-07,중랑구,0
2021-02-08,강남구,15
2021-02-08,강동구,0
2021-02-08,강북구,1
2021-02-08,강서구,45
2021-02-08,관악구,1075
2021-02-08,구로구,1501
2021-02-08,금천구,265
2021-02-08,노원구,53
2021-02-08,도봉구,272
2021-02-08,동작구,891
2021-02-08,마포구,26
2021-02-08,서대문구,27
2021-02-08,서초구,265
2021-02-08,성동구,0
2021-02-08,성북구,0
2021-02-08,송파구,0
2021-02-08,양천구,231
2021-02-08,영등포구,466
2021-02-08,용산구,34
2021-02-08,은평구,382
2021-02-08,종로구,0
2021-02-08,중구,14
2021-02-08,중랑구,0
2021-02-09,강남구,14
2021-02-09,강동구,0
2021-02-09,강북구,1
2021-02-09,강서구,72
2021-02-09,관악구,1129
2021-02-09,구로구,1627
2021-02-09,금천구,373
2021-02-09,노원구,84
2021-02-09,도봉구,348
2021-02-09,동작구,900
2021-02-09,마포구,37
2021-02-09,서대문구,21
2021-02-09,서초구,237
2021-02-09,성동구,0
2021-02-09,성북구,0
2021-02-09,송파구,0
2021-02-09,양천구,273
2021-02-09,영등포구,398
2021-02-09,용산구,81
2021-02-09,은평구,454
2021-02-09,종로구,1
2021-02-09,중구,29
2021-02-09,중랑구,0
2021-02-10,강남구,16
2021-02-10,강동구,0
2021-02-10,강북구,8
2021-02-10,강서구,85
2021-02-10,관악구,1287
2021-02-10,구로구,1833
2021-02-10,금천구,371
2021-02-10,노원구,82
2021-02-10,도봉구,386
2021-02-10,동작구,994
2021-02-10,마포구,43
2021-02-10,서대문구,26
2021-02-10,서초구,266
2021-02-10,성동구,0
2021-02-10,성북구,0
2021-02-10,송파구,0
2021-02-10,양천구,303
2021-02-10,영등포구,466
2021-02-10,용산구,78
2021-02-10,은평구,523
2021-02-10,종로구,1
2021-02-10,중구,22
2021-02-10,중랑구,0
2021-02-11,강남구,3
2021-02-11,강동구,0
2021-02-11,강북구,7
2021-02-11,강서구,70
2021-02-11,관악구,1153
2021-02-11,구로구,1319
2021-02-11,금천구,214
2021-02-11,노원구,41
2021-02-11,도봉구,237
2021-02-11,동작구,800
2021-02-11,마포구,41
2021-02-11,서대문구,21
2021-02-11,서초구,193
2021-02-11,성동구,0
2021-02-11,성북구,0
2021-02-11,송파구,0
2021-02-11,양천구,278
2021-02-11,영등포구,324
2021-02-11,용산구,79
2021-02-11,은평구,371
2021-02-11,종로구,2
2021-02-11,중구,17
2021-02-11,중랑구,0
2021-02-12,강남구,3
2021-02-12,강동구,0
2021-02-12,강북구,2
2021-02-12,강서구,32
2021-02-12,관악구,569
2021-02-12,구로구,1303
2021-02-12,금천구,72
2021-02-12,노원구,0
2021-02-12,도봉구,2
2021-02-12,동작구,721
2021-02-12,마포구,0
2021-02-12,서대문구,0
2021-02-12,서초구,199
2021-02-12,성동구,0
2021-02-12,성북구,0
2021-02-12,송파구,0
2021-02-12,양천구,258
2021-02-12,영등포구,255
2021-02-12,용산구,0
2021-02-12,은평구,425
2021-02-12,종로구,0
2021-02-12,중구,0
2021-02-12,중랑구,0
2021-02-13,강남구,2
2021-02-13,강동구,0
2021-02-13,강북구,10
2021-02-13,강서구,59
2021-02-13,관악구,1364
2021-02-13,구로구,1909
2021-02-13,금천구,363
2021-02-13,노원구,56
2021-02-13,도봉구,232
2021-02-13,동작구,1030
2021-02-13,마포구,25
2021-02-13,서대문구,18
2021-02-13,서초구,212
2021-02-13,성동구,0
2021-02-13,성북구,0
2021-02-13,송파구,0
2021-02-13,양천구,321
2021-02-13,영등포구,432
2021-02-13,용산구,33
2021-02-13,은평구,472
2021-02-13,종로구,0
2021-02-13,중구,9
2021-02-13,중랑구,0
2021-02-14,강남구,3
2021-02-14,강동구,0
2021-02-14,강북구,8
2021-02-14,강서구,80
2021-02-14,관악구,1647
2021-02-14,구로구,2023
2021-02-14,금천구,375
2021-02-14,노원구,92
2021-02-14,도봉구,403
2021-02-14,동작구,1094
2021-02-14,마포구,33
2021-02-14,서대문구,6
2021-02-14,서초구,242
2021-02-14,성동구,0
2021-02-14,성북구,0
2021-02-14,송파구,0
2021-02-14,양천구,330
2021-02-14,영등포구,485
2021-02-14,용산구,29
2021-02-14,은평구,462
2021-02-14,종로구,0
2021-02-14,중구,5
2021-02-14,중랑구,0
2021-02-15,강남구,8
2021-02-15,강동구,0
2021-02-15,강북구,3
2021-02-15,강서구,62
2021-02-15,관악구,1056
2021-02-15,구로구,371
2021-02-15,금천구,355
2021-02-15,노원구,44
2021-02-15,도봉구,255
2021-02-15,동작구,667
2021-02-15,마포구,28
2021-02-15,서대문구,11
2021-02-15,서초구,184
2021-02-15,성동구,0
2021-02-15,성북구,0
2021-02-15,송파구,0
2021-02-15,양천구,129
2021-02-15,영등포구,374
2021-02-15,용산구,31
2021-02-15,은평구,380
2021-02-15,종로구,0
